epoch,train_loss,train_exact_match,train_bit_acc,train_pred_mean_hamming,train_zero_mask_ratio,val_loss,val_exact_match,val_bit_acc,val_pred_mean_hamming,val_zero_mask_ratio
1,0.3622721720423017,0.40185714285714286,0.901420634920635,1.4447857142857143,0.153,0.3630966366926829,0.3913333333333333,0.9002592592592593,1.435,0.154
2,0.2548465992382595,0.46185714285714285,0.9151587301587302,1.548142857142857,0.128,0.254048357407252,0.459,0.9153703703703704,1.533,0.12766666666666668
3,0.22384642212731498,0.4515,0.9159365079365079,1.6135714285714287,0.12357142857142857,0.22218680675824484,0.453,0.9167037037037037,1.593,0.12133333333333333
4,0.2060404575892857,0.4757142857142857,0.9212460317460317,1.6016428571428571,0.12171428571428572,0.2042147839864095,0.477,0.9215555555555556,1.5873333333333333,0.12033333333333333
5,0.19677198038782392,0.4822142857142857,0.9223333333333333,1.6071428571428572,0.12314285714285714,0.19528373511632283,0.491,0.9235925925925926,1.583,0.12233333333333334
6,0.18818932461738586,0.5063571428571428,0.9247539682539683,1.5812142857142857,0.119,0.18698064283529917,0.5133333333333333,0.9256296296296296,1.5533333333333332,0.12
7,0.18671592491013664,0.4967142857142857,0.9236269841269841,1.6212142857142857,0.11714285714285715,0.18543847330411276,0.507,0.9247037037037037,1.5963333333333334,0.119
8,0.1800549702474049,0.522,0.9265873015873016,1.5834285714285714,0.12085714285714286,0.17891427830855053,0.5326666666666666,0.9283333333333333,1.5583333333333333,0.12166666666666667
9,0.1766476548569543,0.5305714285714286,0.9276746031746032,1.5902142857142858,0.11585714285714285,0.1756180053949356,0.539,0.928962962962963,1.5653333333333332,0.11733333333333333
10,0.17421856117248535,0.532,0.9288095238095239,1.602142857142857,0.11478571428571428,0.1733637508948644,0.5423333333333333,0.9302962962962963,1.584,0.114
11,0.1711638094357082,0.5210714285714285,0.9274206349206349,1.6136428571428572,0.11414285714285714,0.17064103996753693,0.5296666666666666,0.9284444444444444,1.5913333333333333,0.11366666666666667
12,0.16729046283449445,0.5413571428571429,0.9300555555555555,1.5895,0.114,0.16706984718640647,0.5496666666666666,0.9313703703703704,1.5756666666666668,0.11266666666666666
13,0.16422888328347887,0.5454285714285714,0.9306349206349206,1.5892857142857142,0.11385714285714285,0.16380245463053386,0.5506666666666666,0.932,1.5666666666666667,0.11233333333333333
14,0.1626121542453766,0.5568571428571428,0.9323492063492064,1.5885714285714285,0.11378571428571428,0.1621618953148524,0.5606666666666666,0.9335555555555556,1.574,0.112
15,0.16122333008902415,0.5629285714285714,0.9332142857142857,1.5827857142857142,0.11428571428571428,0.16069902408123016,0.5713333333333334,0.9344444444444444,1.5633333333333332,0.114
16,0.15853415744645255,0.5672857142857143,0.9339047619047619,1.5778571428571428,0.11378571428571428,0.15826676064729692,0.577,0.9353333333333333,1.5586666666666666,0.11333333333333333
17,0.15726248642376492,0.5762142857142857,0.9348095238095238,1.5735714285714286,0.11421428571428571,0.1570822643637657,0.582,0.9355925925925926,1.557,0.114
18,0.15459312719958168,0.5882857142857143,0.9368174603174603,1.5602142857142858,0.11428571428571428,0.15461509309212368,0.5913333333333334,0.9374814814814815,1.548,0.114
19,0.15275379705429076,0.5830714285714286,0.9364126984126984,1.569,0.11314285714285714,0.15258308809995652,0.5876666666666667,0.9371851851851852,1.5533333333333332,0.112
20,0.1529323652642114,0.5882142857142857,0.9366587301587301,1.567357142857143,0.11321428571428571,0.15296524532636008,0.5856666666666667,0.9365185185185185,1.5606666666666666,0.11166666666666666
