epoch,train_loss,train_exact_match,train_bit_acc,train_pred_mean_hamming,train_zero_mask_ratio,val_loss,val_exact_match,val_bit_acc,val_pred_mean_hamming,val_zero_mask_ratio
1,0.373692700283868,0.41314285714285715,0.9039603174603175,1.426642857142857,0.1382142857142857,0.3727320862611135,0.4053333333333333,0.9025555555555556,1.4386666666666668,0.13433333333333333
2,0.259896010194506,0.4475,0.9131984126984127,1.5709285714285715,0.12671428571428572,0.2599963739713033,0.433,0.9113333333333333,1.5976666666666666,0.12
3,0.22112061257021767,0.4765714285714286,0.9194920634920635,1.5637142857142856,0.12492857142857143,0.22240924743811288,0.4613333333333333,0.9167777777777778,1.5846666666666667,0.117
4,0.20567419012955257,0.49492857142857144,0.9222857142857143,1.572,0.12328571428571429,0.2076503643989563,0.4726666666666667,0.9195555555555556,1.597,0.116
5,0.20029447834832328,0.48742857142857143,0.9227301587301587,1.611,0.12428571428571429,0.2019092881679535,0.4713333333333333,0.9214074074074075,1.637,0.11666666666666667
6,0.19175211306980677,0.49914285714285717,0.9243650793650794,1.6,0.11907142857142858,0.19352318294843038,0.483,0.9225555555555556,1.622,0.112
7,0.18251822880336216,0.5119285714285714,0.9265555555555556,1.5714285714285714,0.12371428571428572,0.18400516657034557,0.497,0.9253333333333333,1.5936666666666666,0.11666666666666667
8,0.18357188061305454,0.5137142857142857,0.9263412698412699,1.6010714285714285,0.11714285714285715,0.18536795790990193,0.49866666666666665,0.9244444444444444,1.6176666666666666,0.11133333333333334
9,0.1760486398424421,0.5230714285714285,0.927984126984127,1.5724285714285715,0.12042857142857143,0.17747793026765188,0.5066666666666667,0.9264814814814815,1.5886666666666667,0.11466666666666667
10,0.1769021976164409,0.5241428571428571,0.9274523809523809,1.6023571428571428,0.11592857142857142,0.17831613568464916,0.511,0.9266666666666666,1.615,0.11033333333333334
11,0.16990842963968006,0.5414285714285715,0.9303571428571429,1.5799285714285713,0.1165,0.17089956982930501,0.526,0.9293703703703704,1.598,0.11033333333333334
12,0.16791467334542956,0.5527142857142857,0.9312857142857143,1.5735714285714286,0.11542857142857142,0.16902774902184806,0.5396666666666666,0.9308888888888889,1.585,0.11066666666666666
13,0.16597986606189183,0.5539285714285714,0.9318253968253968,1.5732857142857142,0.115,0.1669897426366806,0.5403333333333333,0.930962962962963,1.5856666666666666,0.10933333333333334
14,0.16570681582178387,0.5527142857142857,0.9318730158730159,1.5911428571428572,0.11521428571428571,0.16667856832345326,0.5396666666666666,0.9305925925925926,1.6056666666666666,0.10966666666666666
15,0.16114724499838692,0.5586428571428571,0.9332539682539682,1.5835714285714286,0.11478571428571428,0.1620133893887202,0.546,0.9322962962962963,1.595,0.11
16,0.15762834562574113,0.5685,0.9349285714285714,1.5659285714285713,0.11542857142857142,0.15835438680648803,0.5556666666666666,0.934,1.5836666666666666,0.10966666666666666
17,0.15612454806055343,0.5686428571428571,0.9352380952380952,1.568,0.11514285714285714,0.15686758732795716,0.5566666666666666,0.9340740740740741,1.5843333333333334,0.10933333333333334
18,0.15461181439672197,0.5731428571428572,0.9354444444444444,1.5694285714285714,0.11507142857142857,0.1555358126560847,0.564,0.9349259259259259,1.5786666666666667,0.11
19,0.15339928846699852,0.5734285714285714,0.9359761904761905,1.573357142857143,0.11464285714285714,0.15422865410645803,0.561,0.935037037037037,1.5856666666666666,0.11033333333333334
